sample,type,ref,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,CO2
UCC,UCC,"Taylor and McLennan, 1985, 1995",65.89,0.5,15.17,1.07,3.63,0.07,2.2,4.19,3.89,3.39,0.2,
NASC,shale_composite,"McLennan et al., 1983; McLennan, 2009; Gromet et al., 1984",64.8,0.7,16.9,1.06,5.48,0.06,2.86,3.63,1.14,3.97,0.13,
PAAS,shale_composite,"Taylor and McLennan, 1985; Barth et al., 2000; Haskin and Haskin, 1966; McLennan, 1981, 1989, 2009; Nance and Taylor, 1976; Barth et al., 2000",62.8,1,18.9,0.87,6.61,0.11,2.2,1.3,1.2,3.7,0.16,
granite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",71.3,0.31,14.32,1.21,1.64,0.05,0.71,1.84,3.68,4.07,0.12,0.05
granodiorite,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",66.37,0.53,15.9,1.07,2.87,0.08,1.66,3.42,3.51,2.91,0.15,0.07
basalt,igneous_composite,"Hyndman, 1985; Le Maitre, 1976",49.2,1.84,15.74,3.79,7.13,0.2,6.73,9.47,2.91,1.1,0.35,0.11
kaolinite,clay_composite,"Herron, 2015",44.5,38.6,0.4,0.0000635,0.00127,0.1,0.1,0.1,0.1,0.3,0.1,
smectite,clay_composite,"Herron, 2015",56.5,17.2,2.8,0.008559,0.042035,3.6,1.9,0.9,0.7,0.2,0,
MBG1,lake_sediment,"Lone et al., 2017",50.27,15.22,4.26,0.010959,0.061628,2.17,12.76,1.01,2.2,0.5,0.44,
MBG2,lake_sediment,"Lone et al., 2017",50.67,14,5.88,0.01,0.06,3,11.15,3.51,2.99,0.75,0.49,
MBG3,lake_sediment,"Lone et al., 2017",52.42,13.4,4.41,0.01,0.04,2.67,13.55,2.05,1.48,0.74,0.24,
MBG4,lake_sediment,"Lone et al., 2017",52.84,15.54,4.42,0.010337,0.062187,1.89,13.39,1.32,1.35,0.61,0.12,
MBG5,lake_sediment,"Lone et al., 2017",48.65,14.59,3.16,0.011557,0.071301,1.7,22.63,1.14,1.12,0.57,0.09,
MBG6,lake_sediment,"Lone et al., 2017",56.47,15.44,5.08,0.00692,0.034625,2.42,6.49,3.01,1.79,0.72,0.19,
MBG7,lake_sediment,"Lone et al., 2017",54.8,14.17,3.77,0.007452,0.034146,2.15,7.5,2.23,1.6,0.77,0.19,
MBG8,lake_sediment,"Lone et al., 2017",54.78,13.63,3.29,0.009476,0.042538,2.28,9.73,2.7,1.44,0.69,0.29,
MBG9,lake_sediment,"Lone et al., 2017",51.31,13.87,2.38,0.008107,0.043769,1.35,20.74,1.14,1.71,0.32,0.11,
MBG10,lake_sediment,"Lone et al., 2017",52.25,16.55,3.32,0.005879,0.03556,2.03,17.45,1.61,1.17,0.55,0.17,
MBG11,lake_sediment,"Lone et al., 2017",49.85,12.39,4.02,0.008687,0.043247,2.72,14.04,1.86,1.56,0.68,0.21,
MBG12,lake_sediment,"Lone et al., 2017",48.05,15.69,4.99,0.008168,0.053925,2.46,14.93,1.22,1.74,0.64,0.14,
MBG13,lake_sediment,"Lone et al., 2017",50.01,15.81,4.56,0.008407,0.053711,2.23,15.55,1.21,1.47,0.65,0.14,
MBG14,lake_sediment,"Lone et al., 2017",50.38,14.7,2.92,0.006463,0.035035,1.48,14.27,2.01,1.84,0.41,0.14,
MBG15,lake_sediment,"Lone et al., 2017",48.58,14.47,2.83,0.006485,0.035015,1.53,13.17,1.01,1.84,0.42,0.16,
MBG16,lake_sediment,"Lone et al., 2017",50.41,14.31,2.36,0.00672,0.034804,1.58,14.65,1.05,1.74,0.38,0.13,
MBG17,lake_sediment,"Lone et al., 2017",48.66,14.3,2.42,0.008245,0.043645,1.68,14.33,1.12,1.76,0.38,0.3,
MBG18,lake_sediment,"Lone et al., 2017",47.4,16.23,4.75,0.019799,0.12516,3.03,13.33,2.41,1.61,0.69,0.29,
MBG19,lake_sediment,"Lone et al., 2017",58.93,14.99,6.23,0.015288,0.078158,2.39,4.97,3.23,1.55,0.96,0.16,
MBG20,lake_sediment,"Lone et al., 2017",52.66,15.72,3.31,0.012866,0.070125,1.6,14.12,1.35,1.95,0.48,0.08,
MBG21,lake_sediment,"Lone et al., 2017",51.21,13.01,4.35,0.011295,0.061325,2.13,14.92,2.25,1.33,0.62,0.08,
MBG22,lake_sediment,"Lone et al., 2017",51.84,14.49,3.48,0.010016,0.052264,1.89,14.93,1.66,1.96,0.56,0.13,
SAR-5,Surma_sandstone,"Hussain and Bharali, 2019",61.98,17.4,5.02,0.024395,0.110817,2.23,2.78,1.35,3.03,0.65,0.12,
SAS-5,Surma_sandstone,"Hussain and Bharali, 2019",61.62,17.18,5.05,0.054412,0.257425,2.32,3.32,1.26,2.53,0.71,0.12,
SAT-2,Surma_sandstone,"Hussain and Bharali, 2019",75,10.78,4.27,0.013447,0.038968,1.58,0.69,1.81,1.99,0.48,0.11,
SAZ-3,Surma_sandstone,"Hussain and Bharali, 2019",74.59,11.13,3.84,0.008232,0.023233,1.46,0.31,1.68,1.93,0.65,0.08,
